DatasetFile,ImageID,Topic,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation,PerceptualHash
image_0751.hdf5,193547116,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/c/c5/Xerochrysum_macsweeneyorum%2C_D%E2%80%99Aguilar_National_Park%2C_Dundas%2C_QLD%2C_AU_imported_from_iNaturalist_photo_322600854.jpg,"https://commons.wikimedia.org/wiki/File:Xerochrysum_macsweeneyorum,_D%E2%80%99Aguilar_National_Park,_Dundas,_QLD,_AU_imported_from_iNaturalist_photo_322600854.jpg",CC BY 4.0,,"(c) Martin Hannan-Jones, some rights reserved (CC BY)","File:Xerochrysum macsweeneyorum, D’Aguilar National Park, Dundas, QLD, AU imported from iNaturalist photo 322600854.jpg","(1536, 2048)",74bc568d5912b565174bb58827f9fe46,https://upload.wikimedia.org/wikipedia/commons/c/c5/Xerochrysum_macsweeneyorum%2C_D%E2%80%99Aguilar_National_Park%2C_Dundas%2C_QLD%2C_AU_imported_from_iNaturalist_photo_322600854.jpg,0,0cc1ccc6860d6131
image_0752.hdf5,179251583,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/a/aa/Autumn_Nature_of_Golestan_Lal_Spring_17_%282025%29_Tasnim.jpg,https://commons.wikimedia.org/wiki/File:Autumn_Nature_of_Golestan_Lal_Spring_17_(2025)_Tasnim.jpg,CC BY 4.0,,علی اصغر سلیمی,File:Autumn Nature of Golestan Lal Spring 17 (2025) Tasnim.jpg,"(800, 557)",abcbc0702dfbba26717b9f9fe8915e73,https://upload.wikimedia.org/wikipedia/commons/a/aa/Autumn_Nature_of_Golestan_Lal_Spring_17_%282025%29_Tasnim.jpg,0,e77b3c1d0d052465
image_0753.hdf5,156699197,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/8/8c/Post_and_Telegraph_Offices%2C_Bowen.jpg,"https://commons.wikimedia.org/wiki/File:Post_and_Telegraph_Offices,_Bowen.jpg",CC BY 4.0,,"Unknown author<span style=""display: none;"">Unknown author</span>","File:Post and Telegraph Offices, Bowen.jpg","(1400, 902)",e0d1ef468c7e8a2f506bc659ca5ea232,https://upload.wikimedia.org/wikipedia/commons/8/8c/Post_and_Telegraph_Offices%2C_Bowen.jpg,0,3f9bf8dcdcbc591d
image_0754.hdf5,182431706,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/2/20/Cour_d%27honneur_du_coll%C3%A8ge_de_France._D%C3%A9cor_de_la_fa%C3%A7ade.jpg,https://commons.wikimedia.org/wiki/File:Cour_d%27honneur_du_coll%C3%A8ge_de_France._D%C3%A9cor_de_la_fa%C3%A7ade.jpg,CC BY 4.0,,Collège de France,File:Cour d'honneur du collège de France. Décor de la façade.jpg,"(6000, 8195)",fe1b125b39eebd53a1d672ab28cb11e0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Cour_d%27honneur_du_coll%C3%A8ge_de_France._D%C3%A9cor_de_la_fa%C3%A7ade.jpg/1920px-Cour_d%27honneur_du_coll%C3%A8ge_de_France._D%C3%A9cor_de_la_fa%C3%A7ade.jpg,0,797133696b777149
image_0755.hdf5,96962216,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/9/98/1399090215061015221661584_%D8%AF%D9%88%D9%85%DB%8C%D9%86_%D8%B1%D9%88%D8%B2_%D8%A7%D8%B9%D9%85%D8%A7%D9%84_%D9%85%D8%AD%D8%AF%D9%88%D8%AF%DB%8C%D8%AA_%D9%87%D8%A7_%D8%AF%D8%B1_%D8%A7%D9%87%D9%88%D8%A7%D8%B2.jpg,https://commons.wikimedia.org/wiki/File:1399090215061015221661584_%D8%AF%D9%88%D9%85%DB%8C%D9%86_%D8%B1%D9%88%D8%B2_%D8%A7%D8%B9%D9%85%D8%A7%D9%84_%D9%85%D8%AD%D8%AF%D9%88%D8%AF%DB%8C%D8%AA_%D9%87%D8%A7_%D8%AF%D8%B1_%D8%A7%D9%87%D9%88%D8%A7%D8%B2.jpg,CC BY 4.0,,Mehdi Pedramkhoo,File:1399090215061015221661584 دومین روز اعمال محدودیت ها در اهواز.jpg,"(800, 492)",60f7c0afa26a47a9e0bd432a66811313,https://upload.wikimedia.org/wikipedia/commons/9/98/1399090215061015221661584_%D8%AF%D9%88%D9%85%DB%8C%D9%86_%D8%B1%D9%88%D8%B2_%D8%A7%D8%B9%D9%85%D8%A7%D9%84_%D9%85%D8%AD%D8%AF%D9%88%D8%AF%DB%8C%D8%AA_%D9%87%D8%A7_%D8%AF%D8%B1_%D8%A7%D9%87%D9%88%D8%A7%D8%B2.jpg,0,19486c49a9fa566d
image_0756.hdf5,54149500,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/a/a2/Exterior_de_la_capilla_de_los_Manuel%2C_Pe%C3%B1afiel.jpg,"https://commons.wikimedia.org/wiki/File:Exterior_de_la_capilla_de_los_Manuel,_Pe%C3%B1afiel.jpg",CC BY 4.0,,José Luis Filpo Cabana,"File:Exterior de la capilla de los Manuel, Peñafiel.jpg","(2975, 3966)",1e51fc3f4c28894b42c383e9e55b1fba,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Exterior_de_la_capilla_de_los_Manuel%2C_Pe%C3%B1afiel.jpg/1920px-Exterior_de_la_capilla_de_los_Manuel%2C_Pe%C3%B1afiel.jpg,0,09fcd0125010091b
image_0757.hdf5,151250276,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/9/91/Camel_Rock%2C_New_South_Wales.jpg,"https://commons.wikimedia.org/wiki/File:Camel_Rock,_New_South_Wales.jpg",CC BY 4.0,,Jtneill,"File:Camel Rock, New South Wales.jpg","(4080, 3072)",b0f8c5f94bded0f2171faf976eb0edd2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Camel_Rock%2C_New_South_Wales.jpg/1920px-Camel_Rock%2C_New_South_Wales.jpg,0,c6e3898dca46c389
image_0758.hdf5,175123247,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/4/41/Polling_booth_sign_outside_Hastings_District_Council_building%2C_September_2025.jpg,"https://commons.wikimedia.org/wiki/File:Polling_booth_sign_outside_Hastings_District_Council_building,_September_2025.jpg",CC BY 4.0,,TheLoyalOrder,"File:Polling booth sign outside Hastings District Council building, September 2025.jpg","(3072, 4096)",b8e957faee1d7fe5f2d0e1212c0efffb,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Polling_booth_sign_outside_Hastings_District_Council_building%2C_September_2025.jpg/1920px-Polling_booth_sign_outside_Hastings_District_Council_building%2C_September_2025.jpg,0,ea8c213274725309
image_0759.hdf5,170854766,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/9/9c/Rebel-exterior-2025.jpg,https://commons.wikimedia.org/wiki/File:Rebel-exterior-2025.jpg,CC BY 4.0,,Dkpedersen,File:Rebel-exterior-2025.jpg,"(1920, 1280)",5ca760bb47e3136ea97bfb80f3784c3d,https://upload.wikimedia.org/wikipedia/commons/9/9c/Rebel-exterior-2025.jpg,0,03294dce0cd566e6
image_0760.hdf5,151135453,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/e/e2/0_Heracleum_mantegazzianum%2C_native%2C_Dilijan_National_Park%2C_Armenia_1.jpg,"https://commons.wikimedia.org/wiki/File:0_Heracleum_mantegazzianum,_native,_Dilijan_National_Park,_Armenia_1.jpg",CC BY 4.0,https://www.inaturalist.org/people/ivanovdg19,ivanovdg19,"File:0 Heracleum mantegazzianum, native, Dilijan National Park, Armenia 1.jpg","(1536, 2048)",39f0b389956f5ddd5ede7847dab033c8,https://upload.wikimedia.org/wikipedia/commons/e/e2/0_Heracleum_mantegazzianum%2C_native%2C_Dilijan_National_Park%2C_Armenia_1.jpg,0,39a302100e9a9bd7
